Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
1,12,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,18-Aug-08,ODI # 2742,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Dambulla,18-Aug-08,ODI # 2742,ODI ,Sri Lanka
1,-,DNB,-,-,3,0,,ODI v Sri Lanka,Dambulla,20-Aug-08,ODI # 2745,ODI ,Sri Lanka
2,37,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,20-Aug-08,ODI # 2745,ODI ,Sri Lanka
1,25,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),24-Aug-08,ODI # 2750,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Colombo (RPS),24-Aug-08,ODI # 2750,ODI ,Sri Lanka
1,54,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),27-Aug-08,ODI # 2755,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Colombo (RPS),27-Aug-08,ODI # 2755,ODI ,Sri Lanka
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Colombo (RPS),29-Aug-08,ODI # 2756,ODI ,Sri Lanka
2,31,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),29-Aug-08,ODI # 2756,ODI ,Sri Lanka
1,2*,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),14-Sep-09,ODI # 2889,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Colombo (RPS),14-Sep-09,ODI # 2889,ODI ,Sri Lanka
1,-,3,21,0,1,0,,ODI v Pakistan,Centurion,26-Sep-09,ODI # 2898,ODI ,Pakistan
2,16,-,-,-,-,-,,ODI v Pakistan,Centurion,26-Sep-09,ODI # 2898,ODI ,Pakistan
0,TDNB,-,-,-,-,-,,ODI v Australia,Centurion,28-Sep-09,ODI # 2901,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v Australia,Centurion,28-Sep-09,ODI # 2901,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v West Indies,Johannesburg,30-Sep-09,ODI # 2904,ODI ,West Indies
2,79*,-,-,-,-,-,,ODI v West Indies,Johannesburg,30-Sep-09,ODI # 2904,ODI ,West Indies
1,-,DNB,-,-,1,0,,ODI v Australia,Vadodara,25-Oct-09,ODI # 2913,ODI ,Australia
2,30,-,-,-,-,-,,ODI v Australia,Vadodara,25-Oct-09,ODI # 2913,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v Australia,Mohali,02-Nov-09,ODI # 2919,ODI ,Australia
2,10,-,-,-,-,-,,ODI v Australia,Mohali,02-Nov-09,ODI # 2919,ODI ,Australia
1,27,-,-,-,-,-,,ODI v Sri Lanka,Rajkot,15-Dec-09,ODI # 2932,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Rajkot,15-Dec-09,ODI # 2932,ODI ,Sri Lanka
1,54,-,-,-,-,-,,ODI v Sri Lanka,Nagpur,18-Dec-09,ODI # 2933,ODI ,Sri Lanka
2,-,DNB,-,-,1,0,,ODI v Sri Lanka,Nagpur,18-Dec-09,ODI # 2933,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,ODI v Sri Lanka,Eden Gardens,24-Dec-09,ODI # 2935,ODI ,Sri Lanka
2,107,-,-,-,-,-,,ODI v Sri Lanka,Eden Gardens,24-Dec-09,ODI # 2935,ODI ,Sri Lanka
0,TDNB,-,-,-,-,-,,ODI v Sri Lanka,Delhi,27-Dec-09,ODI # 2936,ODI ,Sri Lanka
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Delhi,27-Dec-09,ODI # 2936,ODI ,Sri Lanka
1,9,-,-,-,-,-,,ODI v Sri Lanka,Mirpur,05-Jan-10,ODI # 2938,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Mirpur,05-Jan-10,ODI # 2938,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,ODI v Bangladesh,Mirpur,07-Jan-10,ODI # 2939,ODI ,Bangladesh
2,91,-,-,-,-,-,,ODI v Bangladesh,Mirpur,07-Jan-10,ODI # 2939,ODI ,Bangladesh
1,-,DNB,-,-,1,0,,ODI v Sri Lanka,Mirpur,10-Jan-10,ODI # 2941,ODI ,Sri Lanka
2,71*,-,-,-,-,-,,ODI v Sri Lanka,Mirpur,10-Jan-10,ODI # 2941,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,ODI v Bangladesh,Mirpur,11-Jan-10,ODI # 2942,ODI ,Bangladesh
2,102*,-,-,-,-,-,,ODI v Bangladesh,Mirpur,11-Jan-10,ODI # 2942,ODI ,Bangladesh
1,2,-,-,-,-,-,,ODI v Sri Lanka,Mirpur,13-Jan-10,ODI # 2943,ODI ,Sri Lanka
2,-,1.4,12,0,1,0,,ODI v Sri Lanka,Mirpur,13-Jan-10,ODI # 2943,ODI ,Sri Lanka
1,31,-,-,-,-,-,,ODI v South Africa,Jaipur,21-Feb-10,ODI # 2961,ODI ,South Africa
2,-,DNB,-,-,1,0,,ODI v South Africa,Jaipur,21-Feb-10,ODI # 2961,ODI ,South Africa
1,DNB,-,-,-,-,-,,ODI v South Africa,Gwalior,24-Feb-10,ODI # 2962,ODI ,South Africa
2,-,DNB,-,-,0,0,,ODI v South Africa,Gwalior,24-Feb-10,ODI # 2962,ODI ,South Africa
1,-,2,11,0,0,0,,ODI v South Africa,Ahmedabad,27-Feb-10,ODI # 2963,ODI ,South Africa
2,57,-,-,-,-,-,,ODI v South Africa,Ahmedabad,27-Feb-10,ODI # 2963,ODI ,South Africa
1,0,-,-,-,-,-,,ODI v Zimbabwe,Bulawayo,28-May-10,ODI # 2981,ODI ,Zimbabwe
2,-,DNB,-,-,0,0,,ODI v Zimbabwe,Bulawayo,28-May-10,ODI # 2981,ODI ,Zimbabwe
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Bulawayo,30-May-10,ODI # 2983,ODI ,Sri Lanka
2,82,-,-,-,-,-,,ODI v Sri Lanka,Bulawayo,30-May-10,ODI # 2983,ODI ,Sri Lanka
1,18,-,-,-,-,-,,ODI v Zimbabwe,Harare,03-Jun-10,ODI # 2986,ODI ,Zimbabwe
2,-,DNB,-,-,1,0,,ODI v Zimbabwe,Harare,03-Jun-10,ODI # 2986,ODI ,Zimbabwe
1,68,-,-,-,-,-,,ODI v Sri Lanka,Harare,05-Jun-10,ODI # 2988,ODI ,Sri Lanka
2,-,DNB,-,-,1,0,,ODI v Sri Lanka,Harare,05-Jun-10,ODI # 2988,ODI ,Sri Lanka
1,-,DNB,-,-,0,0,,T20I v Zimbabwe,Harare,12-Jun-10,T20I # 182,T20I, Zimbabwe
2,26*,-,-,-,-,-,,T20I v Zimbabwe,Harare,12-Jun-10,T20I # 182,T20I, Zimbabwe
1,-,DNB,-,-,0,0,,T20I v Zimbabwe,Harare,13-Jun-10,T20I # 183,T20I, Zimbabwe
2,DNB,-,-,-,-,-,,T20I v Zimbabwe,Harare,13-Jun-10,T20I # 183,T20I, Zimbabwe
1,-,DNB,-,-,0,0,,ODI v Bangladesh,Dambulla,16-Jun-10,ODI # 2993,ODI ,Bangladesh
2,11,-,-,-,-,-,,ODI v Bangladesh,Dambulla,16-Jun-10,ODI # 2993,ODI ,Bangladesh
1,-,DNB,-,-,1,0,,ODI v Pakistan,Dambulla,19-Jun-10,ODI # 2996,ODI ,Pakistan
2,18,-,-,-,-,-,,ODI v Pakistan,Dambulla,19-Jun-10,ODI # 2996,ODI ,Pakistan
1,10,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,22-Jun-10,ODI # 2999,ODI ,Sri Lanka
2,-,DNB,-,-,0,0,,ODI v Sri Lanka,Dambulla,22-Jun-10,ODI # 2999,ODI ,Sri Lanka
1,28,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,24-Jun-10,ODI # 3001,ODI ,Sri Lanka
2,-,3,16,0,0,0,,ODI v Sri Lanka,Dambulla,24-Jun-10,ODI # 3001,ODI ,Sri Lanka
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Dambulla,16-Aug-10,ODI # 3032,ODI ,Sri Lanka
2,0,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,16-Aug-10,ODI # 3032,ODI ,Sri Lanka
1,8,-,-,-,-,-,,ODI v New Zealand,Dambulla,25-Aug-10,ODI # 3039,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Dambulla,25-Aug-10,ODI # 3039,ODI ,New Zealand
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Dambulla,28-Aug-10,ODI # 3040,ODI ,Sri Lanka
2,37,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,28-Aug-10,ODI # 3040,ODI ,Sri Lanka
1,-,DNB,-,-,0,0,,ODI v Australia,Visakhapatnam,20-Oct-10,ODI # 3060,ODI ,Australia
2,118,-,-,-,-,-,,ODI v Australia,Visakhapatnam,20-Oct-10,ODI # 3060,ODI ,Australia
1,105,-,-,-,-,-,,ODI v New Zealand,Guwahati,28-Nov-10,ODI # 3070,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Guwahati,28-Nov-10,ODI # 3070,ODI ,New Zealand
1,-,DNB,-,-,1,0,,ODI v New Zealand,Jaipur,01-Dec-10,ODI # 3072,ODI ,New Zealand
2,64,-,-,-,-,-,,ODI v New Zealand,Jaipur,01-Dec-10,ODI # 3072,ODI ,New Zealand
1,-,DNB,-,-,0,0,,ODI v New Zealand,Vadodara,04-Dec-10,ODI # 3074,ODI ,New Zealand
2,63*,-,-,-,-,-,,ODI v New Zealand,Vadodara,04-Dec-10,ODI # 3074,ODI ,New Zealand
1,-,DNB,-,-,0,0,,ODI v New Zealand,Bengaluru,07-Dec-10,ODI # 3076,ODI ,New Zealand
2,0,-,-,-,-,-,,ODI v New Zealand,Bengaluru,07-Dec-10,ODI # 3076,ODI ,New Zealand
1,-,DNB,-,-,0,0,,ODI v New Zealand,Chennai,10-Dec-10,ODI # 3077,ODI ,New Zealand
2,2,-,-,-,-,-,,ODI v New Zealand,Chennai,10-Dec-10,ODI # 3077,ODI ,New Zealand
1,28,-,-,-,-,-,,T20I v South Africa,Durban,09-Jan-11,T20I # 196,T20I, South Africa
2,-,DNB,-,-,1,0,,T20I v South Africa,Durban,09-Jan-11,T20I # 196,T20I, South Africa
1,-,DNB,-,-,0,0,,ODI v South Africa,Durban,12-Jan-11,ODI # 3079,ODI ,South Africa
2,54,-,-,-,-,-,,ODI v South Africa,Durban,12-Jan-11,ODI # 3079,ODI ,South Africa
1,22,-,-,-,-,-,,ODI v South Africa,Johannesburg,15-Jan-11,ODI # 3080,ODI ,South Africa
2,-,DNB,-,-,0,0,,ODI v South Africa,Johannesburg,15-Jan-11,ODI # 3080,ODI ,South Africa
1,-,DNB,-,-,3,0,,ODI v South Africa,Cape Town,18-Jan-11,ODI # 3082,ODI ,South Africa
2,28,-,-,-,-,-,,ODI v South Africa,Cape Town,18-Jan-11,ODI # 3082,ODI ,South Africa
1,-,DNB,-,-,1,0,,ODI v South Africa,Gqeberha,21-Jan-11,ODI # 3084,ODI ,South Africa
2,87*,-,-,-,-,-,,ODI v South Africa,Gqeberha,21-Jan-11,ODI # 3084,ODI ,South Africa
1,-,DNB,-,-,0,0,,ODI v South Africa,Centurion,23-Jan-11,ODI # 3087,ODI ,South Africa
2,2,-,-,-,-,-,,ODI v South Africa,Centurion,23-Jan-11,ODI # 3087,ODI ,South Africa
1,100*,-,-,-,-,-,,ODI v Bangladesh,Mirpur,19-Feb-11,ODI # 3100,ODI ,Bangladesh
2,-,DNB,-,-,0,0,,ODI v Bangladesh,Mirpur,19-Feb-11,ODI # 3100,ODI ,Bangladesh
1,8,-,-,-,-,-,,ODI v England,Bengaluru,27-Feb-11,ODI # 3110,ODI ,England
2,-,DNB,-,-,1,0,,ODI v England,Bengaluru,27-Feb-11,ODI # 3110,ODI ,England
